https://ebird.org/species/audshe,Procellariiformes,Procellariidae,Sargasso Shearwater,Puffinus lherminieri,,"Small black-and-white shearwater with relatively long tail and somewhat rounded wings. Usually flies low to the water with fluttering wingbeats, but in strong winds it can fly with high wheeling arcs. Undertail coverts are typically dark, but this can be very difficult to see in the field. Compare with Manx Shearwater, which is larger with longer, more pointed wings, light undertail coverts, and a darker face. Found over warm tropical waters, especially around floating mats of Sargassum weed. Often seen singly or in pairs but can gather in loose flocks, sometimes loafing with other shearwater species."
https://ebird.org/species/bakind1,Passeriformes,Viduidae,Barka Indigobird,Vidua larvaticola,,"A nest parasite that lays its eggs in the nests of Black-faced Firefinch. Breeding males are glossy black with blue or blue-green iridescence and a pale brownish panel in the wings. Females and non-breeding males are brown and streaky on the back and pale below, with a bold facial pattern. The bill is white and the legs pinkish. Found in woodland, grassland, and thickets, often near water. Breeding males can be identified with care by their vocalizations and by their blue or blue-green gloss. Non-breeding males and females cannot be separated visually from other indigobirds. Imitates the vocalizations of its host firefinches, including soft, repeated whistles."
https://ebird.org/species/balmal2,Passeriformes,Ploceidae,Gola Malimbe,Malimbus ballmanni,,"A striking black-and-yellow malimbe; the female lacks the yellow nape of the male. Juvenile has a pale bill and yellow on the crown and chin. A scarce and patchily distributed endemic resident of Upper Guinea, preferring the middle levels and canopy of tall primary and secondary lowland forest. Joins flocks, often with other malimbes, and gleans leaves and thin twigs looking for insects in the manner of a tit. Vocalizations are poorly known but include varied swizzling and chittering notes. Other malimbes in range have red rather than yellow highlights in their black plumage."
https://ebird.org/species/baseag1,Accipitriformes,Accipitridae,Western Banded Snake-Eagle,Circaetus cinerascens,,"Chunky, dark brown raptor with barred underparts. Shows a single broad white band through the tail which is conspicuous in flight. Found in and around forest and thick woodland, often near water. Sits for long periods and doesn’t often soar. Generally scarce and uncommon across its range. Call is a weird, strangled “whaaat-hooooa.” Very similar to Fasciated Snake-Eagle, but doesn’t overlap in range. Somewhat similar to African Cuckoo-Hawk, but larger and chunkier, with a dark brown rather than gray head."
https://ebird.org/species/brnowl,Strigiformes,Tytonidae,American Barn Owl,Tyto furcata,,"Medium-sized owl with a heart-shaped facial disc and deep dark eyes; the only Tyto owl present across most of its range; on Hispaniola compare to Ashy-faced Owl. Varies across a wide range, but always note white-and-black speckling on the upperparts, beautiful gray-and-tawny wings, and large round head. Color of the facial disc and underparts varies from pure white to rusty orange. Hunts in open areas by night, foraging with a slow and buoyant flight. Roosts in old buildings, tree hollows, caves, and nest boxes by day. Gives a bone-chilling, rising shriek, as well as shorter rasping calls and insect-like clicks."
https://ebird.org/species/bkbcus1,Passeriformes,Campephagidae,Black-bibbed Cicadabird,Edolisoma mindanense,,"A medium-sized bird of lowland and foothill forest. Gray on the crown and back, with black feathers in the edge of the wing and a black tail with white corners. Male has a black forehead, face, and chest, and female has gray underparts. Races differ, with southern birds having paler bellies. Female is similar to female Blackish Cuckooshrike, but Black-bibbed has a stouter bill and a paler belly. Voice includes a sharp “wek!” and a downslurred whistle repeated at short intervals."
https://ebird.org/species/blbmon2,Passeriformes,Monarchidae,Banda Sea Monarch,Symposiachrus mundus,,"A gray-and-white flycatcher-like songbird confined to the eastern Lesser Sundas. Head slate-gray with well-defined black mask and throat. Underparts bright white and upperparts slate-gray, with dark tail displaying obvious white outer feathers. Juveniles are grayish-brown above and cinnamon below, with white on face, throat, and neck. Singles and pairs frequent mixed-species flocks within understory of forest, forest edge, and mangroves. Lacks orange on breast, unlike Spectacled Monarch. Song is a high-pitched, descending whistled “seeeer.” Also gives a scratchy “k’schrrrr,” “schrrrr,” and rasping “weeee.”"
https://ebird.org/species/blbpar1,Psittaciformes,Psittacidae,Black-billed Amazon,Amazona agilis,,"A chunky green inhabitant of wet forests; typically found in pairs or small flocks in or near the canopy. Note this species’ nearly all green plumage, black bill, black eye, and black eyering. The somewhat similar Yellow-billed Parrot is distinguished from Black-billed Parrot by its rose-colored throat, yellow bill, and pale eyering. When the two species are together, the larger size of the Yellow-billed is evident. The characteristics noted above also separate this species from other parrots that might have escaped from captivity. Calls include a harsh “mwah,” a scratchy “uh-lee,” and “uh-luh,” with the latter often given rapidly and while flying."
https://ebird.org/species/blcmon1,Passeriformes,Monarchidae,Boano Monarch,Symposiachrus boanensis,,"A striking black-and-white, heavy-billed flycatcher-like songbird confined to Boano Island. Black above, with black head and throat, white collar, and all-white underparts. Note broad white outer tail feathers. Juveniles gray above with buffy underside. Pairs or singles join mixed-species flocks in understory of lowland forest and forest edge. The species lacks a strong peach collar and wash on the breast, unlike Spectacled Monarch. Song is a level-pitched whistle, “sweee,” sometimes followed by a buzzing trill. Also gives harsh, rasping “grrrt” alarm notes and twittering phrases."
https://ebird.org/species/bltmon1,Passeriformes,Monarchidae,Bismarck Monarch,Symposiachrus verticalis,,"A medium-sized pied monarch with a black face and throat. Back and wings black with a large white wing patch. Underside white, tail black. Clearly prefers primary forest; less common in secondary forest. Often found in bamboo thickets. Song is a descending series of weak whistles. Common calls include harsh churring notes."
